Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,446.0,453.5,443.0,453.0,445.97552490234375,14885824
2023-01-04,449.5,455.0,448.5,449.5,442.52978515625,19188422
2023-01-05,459.0,459.5,455.0,458.5,451.3902587890625,23549581
2023-01-06,455.0,459.5,455.0,458.5,451.3902587890625,20886011
2023-01-09,468.0,481.0,467.5,481.0,473.54132080078125,46666263
2023-01-10,486.0,487.0,483.0,486.0,478.46380615234375,32646014
2023-01-11,487.0,488.0,482.0,484.5,476.987060546875,21051115
2023-01-12,487.5,488.0,484.0,486.5,478.9560241699219,20963689
2023-01-13,507.0,509.0,499.0,500.0,492.2467346191406,77606949
2023-01-16,506.0,508.0,503.0,505.0,497.1691589355469,34373918
2023-01-17,504.0,504.0,499.5,503.0,495.2001953125,27770329
2023-01-30,542.0,543.0,534.0,543.0,534.5799560546875,124428936
2023-01-31,537.0,538.0,521.0,522.0,513.9055786132812,72530854
2023-02-01,532.0,533.0,522.0,530.0,521.781494140625,33710990
2023-02-02,538.0,542.0,537.0,540.0,531.62646484375,43077053
2023-02-03,540.0,542.0,536.0,542.0,533.595458984375,31635865
2023-02-06,532.0,533.0,526.0,526.0,517.8435668945312,30870136
2023-02-07,524.0,528.0,522.0,523.0,514.8900756835938,23481767
2023-02-08,538.0,540.0,534.0,540.0,531.62646484375,35096191
2023-02-09,540.0,540.0,536.0,540.0,531.62646484375,18861972
2023-02-10,544.0,546.0,541.0,545.0,536.5488891601562,28495684
2023-02-13,544.0,544.0,538.0,541.0,532.6109619140625,22768977
2023-02-14,544.0,546.0,543.0,545.0,536.5488891601562,21883297
2023-02-15,526.0,532.0,522.0,525.0,516.8590698242188,61796793
2023-02-16,528.0,531.0,524.0,528.0,519.8125,29975138
2023-02-17,524.0,524.0,516.0,518.0,509.9676208496094,28121975
2023-02-20,514.0,519.0,511.0,517.0,508.9830627441406,20065156
2023-02-21,515.0,517.0,513.0,516.0,507.9986267089844,13504100
2023-02-22,506.0,509.0,505.0,507.0,499.1381530761719,24575245
2023-02-23,512.0,521.0,510.0,518.0,509.9676208496094,25376835
2023-02-24,524.0,525.0,511.0,511.0,503.0761413574219,41692491
2023-03-01,504.0,522.0,504.0,522.0,513.9055786132812,39560848
2023-03-02,519.0,520.0,515.0,519.0,510.9520568847656,16558784
2023-03-03,524.0,525.0,516.0,516.0,507.9986267089844,23253895
2023-03-06,520.0,524.0,517.0,521.0,512.9210815429688,21922085
2023-03-07,521.0,526.0,519.0,524.0,515.8745727539062,24861078
2023-03-08,521.0,523.0,518.0,521.0,512.9210815429688,24512408
2023-03-09,525.0,526.0,522.0,522.0,513.9055786132812,21557577
2023-03-10,515.0,516.0,511.0,513.0,505.04510498046875,24045605
2023-03-13,513.0,518.0,509.0,516.0,507.9986267089844,21466947
2023-03-14,511.0,514.0,510.0,510.0,502.0916442871094,20474770
2023-03-15,515.0,516.0,510.0,511.0,503.0761413574219,23208597
2023-03-16,505.0,510.0,504.0,505.0,499.8590393066406,21965994
2023-03-17,516.0,518.0,513.0,518.0,512.7266845703125,33118483
2023-03-20,517.0,518.0,510.0,512.0,506.78778076171875,11837312
2023-03-21,515.0,517.0,512.0,517.0,511.7368469238281,18284799
2023-03-22,524.0,533.0,524.0,533.0,527.573974609375,42385987
2023-03-23,528.0,539.0,528.0,538.0,532.5231323242188,26728246
2023-03-24,536.0,539.0,535.0,539.0,533.5128784179688,21926240
2023-03-27,533.0,536.0,531.0,531.0,525.5943603515625,16111177
2023-03-28,525.0,530.0,524.0,525.0,519.6553955078125,17234120
2023-03-29,533.0,533.0,525.0,530.0,524.6044921875,17280749
2023-03-30,536.0,537.0,531.0,535.0,529.5536499023438,19201564
2023-03-31,538.0,538.0,532.0,533.0,527.573974609375,23558838
2023-04-06,530.0,531.0,526.0,530.0,524.6044921875,25423363
2023-04-07,535.0,535.0,529.0,531.0,525.5943603515625,8557482
2023-04-10,533.0,533.0,528.0,529.0,523.6146850585938,7435151
2023-04-11,522.0,527.0,522.0,524.0,518.6656494140625,22675697
2023-04-12,523.0,524.0,517.0,520.0,514.706298828125,23816473
2023-04-13,515.0,517.0,510.0,510.0,504.80810546875,25536889
2023-04-14,516.0,520.0,513.0,516.0,510.7470703125,18072504
2023-04-17,519.0,520.0,514.0,520.0,514.706298828125,14634287
2023-04-18,518.0,520.0,514.0,515.0,509.7572326660156,15168888
2023-04-19,517.0,518.0,509.0,510.0,504.80810546875,21123233
2023-04-20,512.0,516.0,510.0,513.0,507.777587890625,17221961
2023-04-21,520.0,520.0,510.0,511.0,505.7979431152344,25016683
2023-04-24,505.0,510.0,504.0,507.0,501.83868408203125,16886512
2023-04-25,504.0,505.0,498.0,498.0,492.9302978515625,36898412
2023-04-26,498.0,498.5,491.0,491.5,486.4964599609375,31269245
2023-04-27,491.0,495.0,489.0,493.5,488.4761047363281,29537148
2023-04-28,498.5,502.0,498.0,502.0,496.8895568847656,24824100
2023-05-02,500.0,502.0,496.5,501.0,495.8997497558594,15325791
2023-05-03,496.0,498.0,495.0,496.0,490.9506530761719,11369311
2023-05-04,497.0,499.5,496.0,498.0,492.9302978515625,13140291
2023-05-05,500.0,502.0,498.5,500.0,494.9099426269531,7488897
2023-05-08,509.0,509.0,502.0,504.0,498.86920166015625,11243634
2023-05-09,507.0,510.0,505.0,510.0,504.80810546875,16197743
2023-05-10,508.0,508.0,500.0,503.0,497.87939453125,18859212
2023-05-11,506.0,506.0,498.5,499.0,493.92010498046875,13382927
2023-05-12,496.0,500.0,495.0,496.0,490.9506530761719,18465362
2023-05-15,497.0,499.5,494.5,495.5,490.45574951171875,13315766
2023-05-16,503.0,508.0,500.0,505.0,499.8590393066406,21140315
2023-05-17,508.0,521.0,506.0,519.0,513.7164916992188,41406763
2023-05-18,533.0,536.0,526.0,530.0,524.6044921875,43096277
2023-05-19,535.0,535.0,529.0,532.0,526.5841674804688,32099068
2023-05-22,532.0,533.0,529.0,531.0,525.5943603515625,17208135
2023-05-23,530.0,531.0,525.0,530.0,524.6044921875,19588873
2023-05-24,527.0,528.0,524.0,525.0,519.6553955078125,19086681
2023-05-25,542.0,545.0,537.0,543.0,537.47216796875,63827245
2023-05-26,568.0,568.0,563.0,566.0,560.238037109375,95808471
2023-05-29,574.0,574.0,564.0,568.0,562.2177124023438,54657853
2023-05-30,566.0,568.0,563.0,566.0,560.238037109375,40136130
2023-05-31,560.0,562.0,551.0,558.0,552.3194580078125,81176782
2023-06-01,550.0,554.0,550.0,551.0,545.3907470703125,24477529
2023-06-02,559.0,564.0,557.0,562.0,556.2787475585938,30206141
2023-06-05,560.0,560.0,555.0,555.0,549.3499755859375,16827391
2023-06-06,554.0,562.0,553.0,560.0,554.2991333007812,20228086
